"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 19, 2021","1,816.90","1,821.50","1,823.30","1,807.10","0.08K","-0.33%"
"Jul 16, 2021","1,823.00","1,835.70","1,835.70","1,822.50","0.27K","-0.76%"
"Jul 15, 2021","1,836.90","1,833.10","1,841.10","1,833.10","0.10K","0.21%"
"Jul 14, 2021","1,833.00","1,830.00","1,836.80","1,828.80","1.63K","0.83%"
"Jul 13, 2021","1,817.90","1,822.50","1,825.10","1,814.00","1.20K","0.23%"
"Jul 12, 2021","1,813.80","1,817.30","1,817.30","1,802.00","0.98K","-0.26%"
"Jul 09, 2021","1,818.60","1,805.80","1,818.90","1,805.80","1.33K","0.59%"
"Jul 08, 2021","1,807.90","1,825.00","1,825.00","1,802.50","1.14K","-0.09%"
"Jul 07, 2021","1,809.60","1,811.00","1,812.80","1,809.80","0.36K","0.43%"
"Jul 06, 2021","1,801.80","1,795.20","1,821.50","1,794.10","0.43K","0.59%"
"Jul 05, 2021","1,791.30","1,786.50","1,794.65","1,784.75","-","0.27%"
"Jul 04, 2021","1,786.40","1,788.00","1,788.00","1,785.80","-","-0.26%"
"Jul 02, 2021","1,791.00","1,790.30","1,800.00","1,789.60","0.68K","0.38%"
"Jul 01, 2021","1,784.30","1,785.20","1,785.20","1,782.60","0.51K","0.28%"
"Jun 30, 2021","1,779.30","1,764.00","1,771.20","1,764.00","0.19K","0.47%"
"Jun 29, 2021","1,771.00","1,778.00","1,778.00","1,758.80","0.38K","-0.97%"
"Jun 28, 2021","1,788.30","1,783.30","1,783.30","1,783.30","0.02K","0.16%"
"Jun 25, 2021","1,785.50","1,793.00","1,793.00","1,788.10","0.22K","0.06%"
"Jun 24, 2021","1,784.40","1,792.80","1,792.80","1,782.50","0.00K","-0.37%"
"Jun 23, 2021","1,791.10","1,790.90","1,800.00","1,790.90","0.01K","0.34%"
"Jun 22, 2021","1,785.00","1,792.80","1,792.80","1,785.00","0.04K","-0.31%"
"Jun 21, 2021","1,790.50","1,777.80","1,791.50","1,777.80","0.24K","0.79%"
"Jun 18, 2021","1,776.50","1,786.70","1,800.40","1,781.00","0.25K","-0.31%"
"Jun 17, 2021","1,782.00","1,830.90","1,830.90","1,779.10","0.42K","-4.64%"
"Jun 16, 2021","1,868.70","1,863.20","1,871.20","1,816.40","0.30K","0.27%"
"Jun 15, 2021","1,863.70","1,875.20","1,875.20","1,861.50","0.06K","-0.51%"
"Jun 14, 2021","1,873.20","1,875.00","1,875.20","1,858.60","0.10K","-0.73%"
"Jun 11, 2021","1,886.90","1,898.80","1,898.80","1,885.70","0.03K","-0.89%"
"Jun 10, 2021","1,903.80","1,896.70","1,896.70","1,885.50","0.04K","0.05%"
"Jun 09, 2021","1,902.90","1,901.00","1,901.70","1,901.00","0.02K","0.06%"
"Jun 08, 2021","1,901.80","1,905.70","1,911.70","1,900.70","0.03K","-0.23%"
"Jun 07, 2021","1,906.10","1,895.30","1,895.30","1,895.30","0.12K","0.36%"
"Jun 04, 2021","1,899.20","1,879.90","1,896.50","1,879.30","0.12K","0.99%"
"Jun 03, 2021","1,880.50","1,913.50","1,913.70","1,875.80","0.33K","-1.91%"
"Jun 02, 2021","1,917.20","1,904.30","1,916.10","1,903.80","0.28K","0.25%"
"Jun 01, 2021","1,912.50","1,919.30","1,919.30","1,909.40","0.21K","0.07%"
"May 31, 2021","1,911.15","1,906.80","1,913.40","1,904.85","-","0.23%"
"May 30, 2021","1,906.75","1,907.60","1,907.90","1,906.10","-","-0.33%"
"May 28, 2021","1,913.10","1,908.90","1,909.20","1,896.00","0.18K","0.34%"
"May 27, 2021","1,906.70","1,907.00","1,909.60","1,897.70","0.02K","-0.23%"
"May 26, 2021","1,911.10","1,917.50","1,922.40","1,904.70","0.05K","0.18%"
"May 25, 2021","1,907.70","1,887.50","1,910.00","1,887.50","0.04K","0.72%"
"May 24, 2021","1,894.00","1,891.70","1,894.60","1,891.70","0.02K","0.42%"
"May 21, 2021","1,886.00","1,888.60","1,895.10","1,882.00","0.04K","-0.26%"
"May 20, 2021","1,891.00","1,883.50","1,889.70","1,877.40","0.01K","0.02%"
"May 19, 2021","1,890.70","1,876.70","1,898.00","1,861.80","0.12K","0.71%"
"May 18, 2021","1,877.30","1,879.70","1,879.70","1,878.60","0.03K","0.03%"
"May 17, 2021","1,876.70","1,854.50","1,876.10","1,854.50","0.64K","1.55%"
"May 14, 2021","1,848.10","1,834.60","1,849.20","1,834.50","0.09K","0.77%"
"May 13, 2021","1,833.90","1,824.00","1,835.30","1,818.00","0.01K","0.08%"
"May 12, 2021","1,832.40","1,842.40","1,842.70","1,822.00","0.01K","-0.72%"
"May 11, 2021","1,845.70","1,845.20","1,845.20","1,845.00","0.01K","-0.09%"
"May 10, 2021","1,847.40","1,844.00","1,849.10","1,843.90","0.09K","0.34%"
"May 07, 2021","1,841.20","1,830.50","1,851.00","1,828.50","0.16K","0.86%"
"May 06, 2021","1,825.50","1,823.60","1,824.30","1,823.40","0.17K","1.73%"
"May 05, 2021","1,794.50","1,789.10","1,789.10","1,789.10","0.16K","0.45%"
"May 04, 2021","1,786.40","1,790.80","1,806.70","1,784.20","0.16K","-0.82%"
"May 03, 2021","1,801.20","1,783.00","1,783.00","1,783.00","0.07K","1.36%"
"Apr 30, 2021","1,777.10","1,775.60","1,779.20","1,773.70","0.00K","-0.03%"
"Apr 29, 2021","1,777.60","1,770.10","1,780.00","1,770.10","0.01K","-0.33%"
"Apr 28, 2021","1,783.50","1,775.40","1,775.90","1,775.40","0.01K","-0.27%"
"Apr 27, 2021","1,788.40","1,789.00","1,789.00","1,785.80","0.01K","-0.07%"
"Apr 26, 2021","1,789.60","1,789.60","1,789.60","1,789.60","0.02K","0.13%"
"Apr 23, 2021","1,787.20","1,789.70","1,789.70","1,782.00","0.02K","-0.25%"
"Apr 22, 2021","1,791.70","1,803.20","1,803.40","1,794.50","0.03K","-0.62%"
"Apr 21, 2021","1,802.90","1,790.00","1,790.10","1,790.00","0.02K","0.83%"
"Apr 20, 2021","1,788.10","1,787.80","1,787.80","1,787.80","0.00K","0.44%"
"Apr 19, 2021","1,780.30","1,780.10","1,783.00","1,780.10","0.00K","-0.53%"
"Apr 16, 2021","1,789.70","1,784.70","1,784.70","1,784.70","0.00K","0.75%"
"Apr 15, 2021","1,776.40","1,776.00","1,776.00","1,776.00","0.00K","1.75%"
"Apr 14, 2021","1,745.80","1,755.00","1,755.60","1,745.80","0.03K","-0.63%"
"Apr 13, 2021","1,756.90","1,733.10","1,754.60","1,733.10","0.02K","0.86%"
"Apr 12, 2021","1,742.00","1,740.40","1,740.40","1,740.40","0.01K","-0.68%"
"Apr 09, 2021","1,754.00","1,755.10","1,756.20","1,755.10","0.01K","-0.75%"
"Apr 08, 2021","1,767.30","1,757.30","1,760.20","1,757.30","0.00K","0.97%"
"Apr 07, 2021","1,750.30","1,751.50","1,751.50","1,742.40","0.02K","-0.09%"
"Apr 06, 2021","1,751.80","1,738.10","1,748.50","1,738.00","0.05K","0.81%"
"Apr 05, 2021","1,737.70","1,737.20","1,737.20","1,737.20","0.01K","0.05%"
"Apr 01, 2021","1,736.80","1,732.00","1,739.90","1,732.00","0.00K","0.75%"
"Mar 31, 2021","1,723.90","1,688.40","1,723.10","1,688.40","0.02K","1.75%"
"Mar 30, 2021","1,694.30","1,700.00","1,700.00","1,693.50","0.02K","-1.68%"
"Mar 29, 2021","1,723.30","1,732.80","1,732.80","1,720.00","0.00K","-1.14%"
"Mar 26, 2021","1,743.20","1,732.50","1,740.50","1,728.10","0.00K","0.41%"
"Mar 25, 2021","1,736.10","1,745.10","1,745.10","1,745.10","0.01K","-0.46%"
"Mar 24, 2021","1,744.20","1,742.40","1,742.40","1,742.20","0.00K","0.44%"
"Mar 23, 2021","1,736.50","1,738.00","1,738.00","1,734.30","0.01K","-0.74%"
"Mar 22, 2021","1,749.40","1,746.50","1,746.50","1,736.80","0.00K","-0.18%"
"Mar 19, 2021","1,752.60","1,752.40","1,752.40","1,742.10","0.11K","0.52%"
"Mar 18, 2021","1,743.50","1,744.70","1,744.70","1,744.70","0.00K","0.35%"
"Mar 17, 2021","1,737.50","1,737.80","1,750.40","1,737.00","0.32K","-0.25%"
"Mar 16, 2021","1,741.80","1,748.90","1,748.90","1,748.90","0.00K","0.09%"
"Mar 15, 2021","1,740.30","1,737.50","1,738.30","1,733.60","0.23K","0.57%"
"Mar 12, 2021","1,730.50","1,733.50","1,733.50","1,733.50","0.01K","-0.22%"
"Mar 11, 2021","1,734.40","1,745.70","1,745.70","1,729.10","0.00K","0.03%"
"Mar 10, 2021","1,733.90","1,726.60","1,728.00","1,723.70","0.40K","0.23%"
